id_estudiante,nombre,apellido,email,documento,grupo
1,David,Gómez,amedina@example.org,0447858621,Grupo C
2,Carlos,Angarita,zuluagayury@example.org,7680373364,Grupo A
3,Mauricio,Henao,quinterodiego@example.net,8097299405,Grupo A
4,Elvia,González,isabel71@example.net,1664469642,Grupo C
5,Liliana,Ramírez,palaciosruth@example.org,8430654890,Grupo B
6,Tulia,Villegas,ugomez@example.com,3981832200,Grupo A
7,Leydi,Ríos,hhurtado@example.org,7528690429,Grupo A
8,Elsa,Toro,maria12@example.com,7788313923,Grupo A
9,Alberto,Guzmán,kmolina@example.org,4695903022,Grupo C
10,Alejandro,Navarro,xparra@example.org,6731647046,Grupo A
11,Clemencia,Martínez,stella56@example.org,6118236053,Grupo C
12,Ignacio,Henao,diego90@example.net,2146626105,Grupo C
13,Diego,Giraldo,alfredofranco@example.net,8775074071,Grupo C
14,Miryam,Rivera,cristiangonzalez@example.net,7341571131,Grupo A
15,Yamile,Martínez,antonioguerra@example.org,9632336683,Grupo C
16,Viviana,Gómez,alvaradoleidy@example.org,6939772928,Grupo B
17,Danilo,Tovar,eliecer34@example.org,7448795781,Grupo A
18,Alba,Álvarez,rodriguezomar@example.com,8926963666,Grupo A
19,Diana,Rodríguez,ortizfelipe@example.net,7688472886,Grupo A
20,Esteban,Benavides,granadosfernando@example.com,4895093411,Grupo A
21,Martha,Rendón,ivonne81@example.com,1445882571,Grupo A
22,María,Rengifo,andres47@example.com,2029187331,Grupo C
23,Yanet,López,marcelasuarez@example.net,9420462531,Grupo C
24,Luis,Rojas,luz24@example.net,8995547354,Grupo A
25,Ovidio,Jiménez,prodriguez@example.com,0293362704,Grupo C
26,Margarita,Mercado,kgaleano@example.com,2629444659,Grupo A
27,Gustavo,Rodríguez,rocio12@example.net,8275250576,Grupo C
28,Laura,Chávez,olopez@example.net,6837785003,Grupo C
29,Sebastián,Palacios,hernandoortiz@example.org,1200489777,Grupo C
30,Julio,Vega,nparra@example.org,7597282033,Grupo C
31,Omaira,Narváez,marquezcarmen@example.org,0113421835,Grupo B
32,Luz,Parada,leonardogomez@example.net,2490048340,Grupo A
33,Armando,Guerrero,cmontoya@example.com,0254365279,Grupo B
34,Rosa,Moreno,segundosanchez@example.org,2383160840,Grupo C
35,Lucía,Mercado,yruiz@example.org,8260668141,Grupo B
36,Isabel,Guerrero,fmunoz@example.com,5861769508,Grupo A
37,David,Flórez,luis50@example.org,7407885317,Grupo A
38,Yadira,Rincón,enriquegil@example.com,5394085088,Grupo C
39,Stella,Osorio,camiloburbano@example.net,6583013645,Grupo B
40,Elvira,Zapata,herreradaniela@example.net,5983427786,Grupo B
41,Esmeralda,Bejarano,hurtadorafael@example.org,3992308835,Grupo B
42,Juliana,Caro,nidia33@example.net,0779253354,Grupo A
43,David,Mercado,alvarezadrian@example.org,9211135488,Grupo A
44,Ana,Sánchez,yolimagaleano@example.com,7552356709,Grupo B
45,Lucía,Alfonso,carrilloandrea@example.org,3999227416,Grupo A
46,Ferney,Castro,salcedobertha@example.org,2728220902,Grupo A
47,William,Herrera,bbautista@example.com,6206339566,Grupo B
48,Alfonso,Aguilar,glopez@example.net,4570843193,Grupo A
49,Antonio,Salas,ederloaiza@example.net,8422474773,Grupo B
50,Fernando,Mendoza,mery56@example.com,5765627069,Grupo B
